Country_code,Country,WHO_region,year_month,ChangeRate
AF,Afghanistan,EMRO,2022-01,428.6516853932584
AF,Afghanistan,EMRO,2022-02,205.89798087141335
AF,Afghanistan,EMRO,2022-03,-62.70627062706271
AF,Afghanistan,EMRO,2022-04,-72.65952491849092
AF,Afghanistan,EMRO,2022-05,25.63884156729131
AF,Afghanistan,EMRO,2022-06,32.13559322033898
AF,Afghanistan,EMRO,2022-07,79.98973832734735
AF,Afghanistan,EMRO,2022-08,88.93956670467503
AF,Afghanistan,EMRO,2022-09,-8.343391671695837
AF,Afghanistan,EMRO,2022-10,-25.08641975308642
AF,Afghanistan,EMRO,2022-11,-39.31004174906614
AF,Afghanistan,EMRO,2022-12,-37.50905141202028
AF,Afghanistan,EMRO,2023-01,-36.384704519119346
AF,Afghanistan,EMRO,2023-02,-24.316939890710383
AF,Afghanistan,EMRO,2023-03,-0.2406738868832732
AF,Afghanistan,EMRO,2023-04,479.0108564535585
AF,Afghanistan,EMRO,2023-05,32.02083333333333
AF,Afghanistan,EMRO,2023-06,-69.4019252011993
AF,Afghanistan,EMRO,2023-07,-44.92006188757091
AF,Afghanistan,EMRO,2023-08,-18.071161048689135
AF,Afghanistan,EMRO,2023-09,2.857142857142857
AF,Afghanistan,EMRO,2023-10,71.11111111111111
AF,Afghanistan,EMRO,2023-11,-6.753246753246753
AF,Afghanistan,EMRO,2023-12,-2.5069637883008355
AF,Afghanistan,EMRO,2024-01,-33.214285714285715
AF,Afghanistan,EMRO,2024-02,-2.5668449197860963
AF,Afghanistan,EMRO,2024-03,22.832052689352363
AF,Afghanistan,EMRO,2024-04,10.455764075067025
AF,Afghanistan,EMRO,2024-05,-48.381877022653725
AF,Afghanistan,EMRO,2024-06,-100
AF,Afghanistan,EMRO,2024-07,NA
AF,Afghanistan,EMRO,2024-08,NA
AF,Afghanistan,EMRO,2024-09,NA
AF,Afghanistan,EMRO,2024-10,NA
AF,Afghanistan,EMRO,2024-11,NA
AF,Afghanistan,EMRO,2024-12,NA
AF,Afghanistan,EMRO,2025-01,NA
AF,Afghanistan,EMRO,2025-02,NA
AF,Afghanistan,EMRO,2025-03,NA
AF,Afghanistan,EMRO,2025-04,NA
AF,Afghanistan,EMRO,2025-05,NA
AG,Antigua and Barbuda,AMRO,2020-01,NA
AG,Antigua and Barbuda,AMRO,2020-02,NA
AG,Antigua and Barbuda,AMRO,2020-03,Inf
AG,Antigua and Barbuda,AMRO,2020-04,142.85714285714286
AG,Antigua and Barbuda,AMRO,2020-05,-94.11764705882352
AG,Antigua and Barbuda,AMRO,2020-06,3900
AG,Antigua and Barbuda,AMRO,2020-07,-57.49999999999999
AG,Antigua and Barbuda,AMRO,2020-08,-29.411764705882355
AG,Antigua and Barbuda,AMRO,2020-09,-66.66666666666666
AG,Antigua and Barbuda,AMRO,2020-10,500
AG,Antigua and Barbuda,AMRO,2020-11,-20.833333333333336
AG,Antigua and Barbuda,AMRO,2020-12,-26.31578947368421
AG,Antigua and Barbuda,AMRO,2021-01,350
AG,Antigua and Barbuda,AMRO,2021-02,706.3492063492063
AG,Antigua and Barbuda,AMRO,2021-03,-22.04724409448819
AG,Antigua and Barbuda,AMRO,2021-04,-73.48484848484848
AG,Antigua and Barbuda,AMRO,2021-05,-69.52380952380952
AG,Antigua and Barbuda,AMRO,2021-06,-87.5
AG,Antigua and Barbuda,AMRO,2021-07,325
AG,Antigua and Barbuda,AMRO,2021-08,2005.8823529411764
AG,Antigua and Barbuda,AMRO,2021-09,253.072625698324
AG,Antigua and Barbuda,AMRO,2021-10,-9.968354430379748
AG,Antigua and Barbuda,AMRO,2021-11,-91.12478031634448
AG,Antigua and Barbuda,AMRO,2021-12,-12.871287128712872
AG,Antigua and Barbuda,AMRO,2022-01,2546.590909090909
AG,Antigua and Barbuda,AMRO,2022-02,-62.2584800343495
AG,Antigua and Barbuda,AMRO,2022-03,-94.88054607508532
AG,Antigua and Barbuda,AMRO,2022-04,97.77777777777776
AG,Antigua and Barbuda,AMRO,2022-05,515.7303370786517
AG,Antigua and Barbuda,AMRO,2022-06,-7.664233576642336
AG,Antigua and Barbuda,AMRO,2022-07,-70.7509881422925
AG,Antigua and Barbuda,AMRO,2022-08,18.91891891891892
AG,Antigua and Barbuda,AMRO,2022-09,-20.454545454545457
AG,Antigua and Barbuda,AMRO,2022-10,-87.85714285714286
AG,Antigua and Barbuda,AMRO,2022-11,-100
AG,Antigua and Barbuda,AMRO,2022-12,NA
AG,Antigua and Barbuda,AMRO,2023-01,NA
AG,Antigua and Barbuda,AMRO,2023-02,NA
AG,Antigua and Barbuda,AMRO,2023-03,NA
AG,Antigua and Barbuda,AMRO,2023-04,NA
AG,Antigua and Barbuda,AMRO,2023-05,NA
AG,Antigua and Barbuda,AMRO,2023-06,NA
AG,Antigua and Barbuda,AMRO,2023-07,NA
AG,Antigua and Barbuda,AMRO,2023-08,NA
AG,Antigua and Barbuda,AMRO,2023-09,NA
AG,Antigua and Barbuda,AMRO,2023-10,NA
AG,Antigua and Barbuda,AMRO,2023-11,NA
AG,Antigua and Barbuda,AMRO,2023-12,NA
AG,Antigua and Barbuda,AMRO,2024-01,NA
AG,Antigua and Barbuda,AMRO,2024-02,NA
AG,Antigua and Barbuda,AMRO,2024-03,NA
AG,Antigua and Barbuda,AMRO,2024-04,NA
AG,Antigua and Barbuda,AMRO,2024-05,NA
AG,Antigua and Barbuda,AMRO,2024-06,NA
AG,Antigua and Barbuda,AMRO,2024-07,NA
AG,Antigua and Barbuda,AMRO,2024-08,NA
AG,Antigua and Barbuda,AMRO,2024-09,NA
AG,Antigua and Barbuda,AMRO,2024-10,NA
AG,Antigua and Barbuda,AMRO,2024-11,NA
AG,Antigua and Barbuda,AMRO,2024-12,NA
