"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDEX_TYPE","COICOP_1999","TYPE_OF_TRANSFORMATION","FREQUENCY","SCALE","2019-M01","2019-M02","2019-M03","2019-M04","2019-M05","2019-M06","2019-M07","2019-M08","2019-M09","2019-M10","2019-M11","2019-M12","2020-M01","2020-M02","2020-M03","2020-M04","2020-M05","2020-M06","2020-M07","2020-M08","2020-M09","2020-M10","2020-M11","2020-M12","2021-M01","2021-M02","2021-M03","2021-M04","2021-M05","2021-M06","2021-M07","2021-M08","2021-M09","2021-M10","2021-M11","2021-M12","2022-M01","2022-M02","2022-M03","2022-M04","2022-M05","2022-M06","2022-M07","2022-M08","2022-M09","2022-M10","2022-M11","2022-M12","2023-M01","2023-M02","2023-M03","2023-M04","2023-M05","2023-M06","2023-M07","2023-M08","2023-M09","2023-M10","2023-M11","2023-M12","2024-M01","2024-M02","2024-M03","2024-M04","2024-M05","2024-M06","2024-M07","2024-M08","2024-M09","2024-M10","2024-M11","2024-M12"
"IMF.STA:CPI(3.0.1)","KOS.CPI._T.POP_PCH_PA_PT.M","OBS_VALUE","Kosovo, Republic of","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","Units","0.3983230157803732","0.3681831982469476","0.1454437885081345","0.1277197359738162","-0.1935994438452593","-0.3260197521067536","-0.1181834871295668","0.497729104328405","-0.1214693003462909","-0.04121824810165401","0.1988479154446486","0.2394592679221262","0.7663615514185098","-0.1988736583062214","-0.08662661474260427","-0.3223989369165331","-0.2911073584466882","-0.4057228469286462","-0.3315862296366901","0.1031387217905578","-0.0651299509138392","0.1894986879070972","0.1043973551121864","0.6302229565505927","0.4733711961586137","0.7390138194041866","0.4128099390553222","0.3340286081123588","-0.2287246377302671","-0.01875953711963415","0.7806268954796891","1.247552013737005","0.1056917562713516","0.9865397873837036","1.237326913132491","0.4516798434769383","0.8692891968166169","1.108491703791681","2.741845709349819","1.454107841072614","0.887126108741837","1.399703202691625","0.886178261029021","0.2151803447152409","-0.1803016841142905","0.9464859700497206","0.2730118788177963","0.8748449767331847","0.843180609464742","-0.2790570616945192","-0.4214650878487035","-0.01202104211636862","-0.3198493672608351","-0.03405436674262301","0.4281846861681838","1.024932032491911","0.8580221894424945","-0.01645276719216709","-0.09674943235373532","0.3223953318464907","0.358943960053671","0.0825065430725747","-0.3031927043405109","0.08656635266661115","-0.3552185902157417","-0.02732586845223521","0.2724812101080176","0.2282933487817724","-0.347386639539998","0.2031221466388049","0.1702039299132796","0.7351307587784787"
"IMF.STA:CPI(3.0.1)","NOR.CPI._T.POP_PCH_PA_PT.M","OBS_VALUE","Norway","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","Units","-0.4553734061930783","0.8234217749313815","0.1814882032667877","0.3623188405797101","-0.2707581227436823","0.09049773755656108","0.7233273056057866","-0.718132854578097","0.4520795660036166","0.18001800180018","0.2695417789757412","-0.2688172043010753","0.0","-0.08984725965858041","0.0","0.4496402877697842","0.1790510295434199","0.1787310098302055","0.7136485280999108","-0.354295837023915","0.3555555555555556","0.2657218777679362","-0.7067137809187279","0.4448398576512456","1.062887511071745","0.7011393514460998","-0.2610966057441253","0.3490401396160558","-0.08695652173913043","0.3481288076588338","0.8673026886383348","0.0","1.031814273430782","-0.2553191489361702","0.7679180887372014","0.6773920406435224","-0.9251471825063078","1.103565365025467","0.5877413937867338","1.168614357262104","0.2475247524752475","0.9053497942386831","1.305057096247961","-0.2415458937198068","1.372074253430186","0.3184713375796178","-0.1587301587301587","0.0794912559618442","0.158856235107228","0.3965107057890563","0.7898894154818324","1.09717868338558","0.4651162790697674","0.617283950617284","0.3834355828220859","-0.7639419404125286","-0.07698229407236336","1.001540832049307","0.5339435545385202","0.07587253414264036","0.0758150113722517","0.2272727272727273","0.2267573696145125","0.8295625942684766","-0.1495886312640239","0.2247191011235955","0.523168908819133","-0.8921933085501859","0.3000750187546887","0.5983545250560957","0.2973977695167286","-0.07412898443291327"
"IMF.STA:CPI(3.0.1)","GRC.CPI._T.POP_PCH_PA_PT.M","OBS_VALUE","Greece","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","Units","-1.766374463025279","0.1296857391655549","1.819253091120429","0.9895911783439804","-1.106913947310701","0.4782792985499818","-1.462246473636398","-0.5461675778088184","2.110235419616486","0.1298025217375107","-0.5760108093818385","0.6604940460011895","-1.685354235495652","-0.4995860416426186","1.582390041518674","-0.4562218061027789","-0.8126792602116507","0.04417265024933118","-1.701859614920774","-0.6474316674825511","2.033677070985763","0.3487922697582939","-0.876933657603062","0.398247569915551","-1.326946852417325","0.2065685363770126","1.203267287508963","0.9094414946456723","-0.3908969900634203","0.9351229222118331","-1.387863983804965","-0.1303652748765477","2.367398734354103","1.528614177820661","0.4739153776239076","0.6780220328382148","-0.2617406947228807","1.116009801626917","2.747610414125601","2.135667186806053","0.6547798569441506","1.628223980079211","-1.830436037710608","-0.2976419940579183","2.937378721965554","-1.153233675261906","-0.01033953440281235","-0.5420420659288602","-0.4800373935089205","0.3003767209827069","1.243578022079764","0.6377609341751227","0.4031408992296287","0.6185565216029212","-1.145182423988203","-0.0317586968960467","1.820097651822854","0.5683205148921979","-0.3677652046083895","-0.08638312072105458","-0.8345281739115503","0.09523727067298118","1.542673275034383","0.4847756922172674","-0.259317280923946","0.4942302968696481","-0.7298763861731135","0.2559292258566899","1.772229993048745","0.01928823893368603","-0.3800135576014399","0.118746333696472"
"IMF.STA:CPI(3.0.1)","IRL.CPI._T.POP_PCH_PA_PT.M","OBS_VALUE","Ireland","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","Units","-0.5995203836930456","0.8443908323281062","0.7177033492822967","0.3562945368171021","-0.1183431952662722","0.2369668246445498","-0.1182033096926714","0.4733727810650888","-0.2355712603062426","-0.2361275088547816","-0.1183431952662722","0.1184834123222749","-0.5917159763313609","0.5952380952380952","0.3550295857988166","-0.3537735849056604","-0.5917159763313609","0.3571428571428571","-0.2372479240806643","-0.1189060642092747","-0.3571428571428571","-0.4778972520908005","0.2400960384153661","0.2395209580838323","0.1194743130227001","0.3579952267303103","0.8323424494649228","0.589622641509434","0.2344665885111372","0.1169590643274854","0.3504672897196262","0.6984866123399301","0.3468208092485549","0.6912442396313364","0.5720823798627002","0.5688282138794084","-0.4524886877828054","0.9090909090909091","1.914414414414414","0.8839779005524862","0.9857612267250822","1.301518438177874","0.4282655246252677","0.1066098081023454","0.1064962726304579","1.595744680851064","0.3141361256544503","-0.208768267223382","-0.8368200836820084","1.687763713080169","1.037344398340249","0.513347022587269","0.4085801838610827","0.8138351983723296","0.2018163471241171","0.6042296072507553","0.1001001001001001","0.3","-0.7976071784646062","0.5025125628140704","-1.3","1.013171225937183","0.5015045135406219","0.1996007984031936","0.49800796812749","0.3964321110009911","0.1974333662388944","0.09852216748768473","-0.8858267716535433","0.2979145978152929","-0.495049504950495","0.8955223880597015"
"IMF.STA:CPI(3.0.1)","HUN.CPI._T.POP_PCH_PA_PT.M","OBS_VALUE","Hungary","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","Units","0.2781641168289291","0.5547850208044383","0.6896551724137931","0.8904109589041096","0.6109979633401222","-0.2024291497975709","0.2028397565922921","-0.1349527665317139","0.06756756756756757","0.6076975016880486","0.06711409395973154","0.2682763246143528","0.9364548494983278","0.3313452617627568","0.1981505944517834","-0.5932762030323006","0.4641909814323607","0.396039603960396","1.117685733070348","0.0","-0.3901170351105332","0.195822454308094","-0.260586319218241","0.3265839320705421","0.9114583333333333","0.7096774193548387","0.7046764894298527","0.826972010178117","0.5047318611987383","0.5649717514124294","0.4993757802746567","0.1863354037267081","0.1239925604463732","1.176470588235294","0.6731946144430845","0.243161094224924","1.394784718010916","1.076555023923445","1.005917159763314","1.581722319859402","1.672433679354095","1.474758933635848","2.347680268306316","1.802293828509011","4.07725321888412","2.010309278350515","1.819100555836281","1.935483870967742","2.336903602726388","0.8087535680304472","0.8022652194431336","0.6554307116104869","-0.372093023255814","0.2801120448179272","0.2793296089385475","0.6963788300835655","0.3688335638543107","-0.1378043178686266","0.0","-0.3219871205151794","0.692201199815413","0.6416131989000917","0.819672131147541","0.6775067750677507","-0.04486316733961418","-0.04488330341113106","0.7184553210597217","0.0","-0.0891662951404369","0.0892458723784025","0.5349977708426215","0.5321507760532151"
"IMF.STA:CPI(3.0.1)","LTU.CPI._T.POP_PCH_PA_PT.M","OBS_VALUE","Lithuania, Republic of","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","Units","0.194587812492482","0.1278109874968717","0.9382669592237093","0.8062821293011917","0.2322271874405156","-0.1927125535362889","-0.318847907101909","-0.3961306813120488","0.9201630978368","0.07686276921184916","-0.01481860312979741","0.327503517680581","0.4353359869642408","-0.05085156186940027","-0.0751047832863592","0.08117772353956426","-0.4845178598666679","0.5103190846714935","-0.2770975178736421","-0.1865643111648036","0.4041070396996414","0.0659730668320631","-0.1419055529741861","-0.03161930358483854","0.4888165248739321","0.2162148628493149","0.9888021414231541","0.9301733826221559","0.5680345950488462","0.5522919025912022","0.71044344066884","0.4005497674490567","1.408573696065531","1.65806398235901","0.9458923028117666","1.22356739040298","2.170808758331525","1.798227227638894","2.350255873686152","1.901268122857514","2.341477156512299","2.316530804229977","1.236970595474554","1.01611708563739","2.864393296452112","1.196017175742562","0.4055660819318765","0.27098112169315","0.7292978938886252","0.7112260513798024","0.5188432769520129","0.04150795656460772","-0.1653739532424289","-0.1018010193212173","-0.2433771749087254","-0.1841128804687084","0.4844266486717313","0.3172188101507396","-0.401202364982362","-0.4954988956459241","0.2620771178245422","0.7116732974152252","-0.1848106425844485","0.07722882048684263","0.304556842653915","0.0900399279158984","-0.08162095437238828","-0.4191298996278747","0.3154249890177373","0.1221055406939067","0.6301200924028388","0.2360380329559359"
"IMF.STA:CPI(3.0.1)","EST.CPI._T.POP_PCH_PA_PT.M","OBS_VALUE","Estonia, Republic of","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","Units","-0.2375296912114014","0.1428571428571429","0.3328578221588207","1.327014218009479","0.2338634237605239","0.1866542230517965","-0.1397298556124825","0.6996268656716418","-0.1389532190829088","-0.09276437847866419","-0.2321262766945218","-0.3257328990228013","-0.3734827264239029","0.4686035613870665","-0.6996268656716418","-0.3757632691404415","-0.6600660066006601","0.9017560512577124","0.0","0.6114769520225776","-0.2805049088359046","-0.5157055789967182","0.1413760603204524","0.0","0.6588235294117647","0.8415147265077139","-0.1854427445526194","0.3715745471435207","0.971772327626099","1.145737855178735","1.087449025826914","0.7171671896010758","1.246105919003115","-0.1758241758241758","1.849405548216645","3.026372676178124","-0.08392782207301722","1.469970600587988","2.649006622516556","3.588709677419355","1.907356948228883","2.711993888464477","1.934622536258832","2.297610161465322","0.3209700427960057","-1.102026306434412","0.8626887131560029","-0.1069137562366358","0.7491972886193364","0.56657223796034","0.6690140845070423","1.958726827562085","-0.03430531732418525","0.7549759780370625","-0.6471389645776567","0.5485087418580734","-0.03409478349812479","-0.4433833560709413","0.0","-0.1027749229188078","1.440329218106996","0.0","0.4056795131845842","0.8754208754208754","0.1001335113484646","0.3667889296432144","0.2325581395348837","0.3646005966191581","-0.2642007926023778","0.5960264900662252","-0.3949967083607637","0.1321877065432915"
"IMF.STA:CPI(3.0.1)","LVA.CPI._T.POP_PCH_PA_PT.M","OBS_VALUE","Latvia, Republic of","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","Units","0.4747010915023712","0.06257664235624912","1.127918650760265","0.8538357440766705","0.2180446372842582","0.3353636230611648","-0.960252737426705","0.1989743891799163","0.05207883652021522","0.3796930325043308","-0.2571707377745586","-0.2306017191977077","0.3904017057099007","0.1350289923266914","0.290995060489124","-0.5058267153806326","-0.4020277296519272","0.1917063985230144","0.2420207076443104","-0.5054043830412008","0.02476338995158711","-0.03396070130228706","-0.2766573895142706","-0.04219074277864354","0.4082314986621644","0.4275442238756957","0.7733193379294679","0.861638021141034","0.5152697551612583","0.2883198198359733","0.3650848706112043","0.3746232391104524","1.053389107081692","1.138386290892646","1.068703880726083","0.3749748728178009","-0.02926972047416947","1.628883118839895","3.31674427694402","2.232120290060677","3.952773752491269","2.421588379076323","2.189653080210875","0.4052078889460637","1.573699449395006","0.7931305621559926","1.135088996596444","-0.4549893356366008","0.5297410013443621","0.5900087437407568","0.739734183199958","0.3380530038185666","1.249603284045851","-1.387007735788235","0.7414296273419092","-0.5640874431985715","-0.4039186342977497","-0.4053480623013085","0.00335265065450027","-0.7720616224469199","0.831704438032881","0.0793710074533355","1.236982527116102","0.5106849737905337","0.2512345797493275","-0.1275247681818524","0.08167898583865764","-0.526067715655269","0.2645624541382671","0.212490723250381","0.1979406506580226","0.2087522951823031"
"IMF.STA:CPI(3.0.1)","NLD.CPI._T.POP_PCH_PA_PT.M","OBS_VALUE","Netherlands, The","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","Units","0.07694527267481004","0.8841902931283037","0.3810612555968372","0.6738160766821676","-0.1319758672699849","-0.09439305267132339","1.00151171579743","0.4396632366697848","-0.6240104312191487","0.4311152764761012","-0.4012691302724897","0.0655860582778975","-0.7771535580524345","0.6322544116259319","0.1969242310577644","0.458586803930744","-0.1490590646543693","0.3078932636685949","1.09757231885406","-0.5152267917931732","-0.2312031813557755","0.5469039673711531","-0.7928459481884392","0.2230275996654586","-0.2132591562355123","0.8827355510128229","0.2763194252555955","0.450078074768072","0.09144111192392099","0.1918509044399781","0.5106227774231786","0.4354531434273791","0.0722608617107759","1.254625868760718","0.882510251381708","0.7422461783158081","0.4561003420752566","0.6461189208067755","3.634944044417455","0.2929850996149339","-0.6343377013604874","0.0","2.116757664846703","1.957719832195443","2.371924162968939","1.071794467649145","-3.04093567251462","0.4744672295938882","-1.384664639026733","1.006411817222628","0.2169546002410607","1.034316869788326","0.1983969526228077","-0.3405670837953429","1.033139950727172","0.448359946511445","-0.422866092404072","0.4482541679773514","-1.041258905503797","0.03955696202531646","0.5219454329774614","0.660844937455747","0.492379835873388","0.6532897806812878","0.2086230876216968","0.1696352841391009","1.470248633669463","0.3186162949476559","-0.4764065335753176","0.4938834435073323","-0.5897474671102374","0.114085792515972"
"IMF.STA:CPI(3.0.1)","DNK.CPI._T.POP_PCH_PA_PT.M","OBS_VALUE","Denmark","Consumer price index (CPI)","All Items","Period average, Period-over-period percent change","Monthly","Units","0.1958863858961802","0.4887585532746823","0.09727626459143969","0.2915451895043732","-0.09689922480620156","-0.1939864209505335","0.5830903790087464","-0.3864734299516908","-0.1939864209505335","0.3887269193391642","-0.1936108422071636","-0.1939864209505335","0.09718172983479106","0.5825242718446602","-0.2895752895752896","-0.0968054211035818","-0.09689922480620156","0.09699321047526673","0.7751937984496124","-0.3846153846153846","-0.09652509652509653","0.1932367149758454","-0.09643201542912247","-0.1930501930501931","0.1934235976789168","0.5791505791505792","0.09596928982725528","0.3835091083413231","0.1910219675262655","0.09532888465204957","0.6666666666666667","-0.1892147587511826","0.2843601895734597","0.945179584120983","0.2808988764044944","-0.4668534080298786","1.407129455909944","1.017576318223867","0.641025641025641","1.637852593266606","0.8952551477170994","0.7985803016858917","1.144366197183099","0.0","1.305483028720627","1.030927835051546","-0.8503401360544218","-0.6003430531732419","0.4314063848144953","0.9450171821305842","-0.1702127659574468","0.2557544757033248","-1.360544217687075","0.3448275862068966","1.804123711340206","-0.6751054852320675","-0.2548853016142736","0.2555366269165247","-0.3398470688190314","-0.5115089514066496","0.9425878320479864","0.5093378607809848","0.0","0.08445945945945946","0.0","0.0","1.09704641350211","-0.4173622704507513","-0.3352891869237217","0.5887300252312868","-0.3344481605351171","-0.2516778523489933"
